age,Mspline,Sspline,Lspline
5,-0.091104697,0.094410623,0
5.25,-0.089198178,0.092905988,0
5.5,-0.087383112,0.09140162,0
5.75,-0.085653674,0.089897785,0
6,-0.084004394,0.088394747,0
6.25,-0.082423978,0.08689261,0
6.5,-0.08090047,0.085391443,0
6.75,-0.079421021,0.083891363,0
7,-0.077960516,0.082392489,0
7.25,-0.076495725,0.080894939,0
7.5,-0.075007998,0.079398831,0
7.75,-0.073480277,0.077904283,0
8,-0.071891043,0.076411414,0
8.25,-0.070221194,0.074920341,0
8.5,-0.068455445,0.073431205,0
8.75,-0.066581639,0.071944278,0
9,-0.064588939,0.07045988,0
9.25,-0.062467039,0.068978327,0
9.5,-0.060207752,0.067499939,0
9.75,-0.05780481,0.066025033,0
10,-0.055253542,0.06455393,0
10.25,-0.052551776,0.063086946,0
10.5,-0.049703322,0.061624401,0
10.75,-0.046713447,0.060166612,0
11,-0.043587273,0.0587139,0
11.25,-0.040329776,0.057266581,0
11.5,-0.036945776,0.055824974,0
11.75,-0.033441099,0.054389398,0
12,-0.029831587,0.052960172,0
12.25,-0.026136876,0.051537614,0
12.5,-0.022374619,0.050122035,0
12.75,-0.018560647,0.048713629,0
13,-0.014709166,0.047312491,0
13.25,-0.010832927,0.045918709,0
13.5,-0.006943636,0.044532374,0
13.75,-0.003056504,0.043153576,0
14,0.000810758,0.041782405,0
14.25,0.004642151,0.040418951,0
14.5,0.008423357,0.039063304,0
14.75,0.012141573,0.037715554,0
15,0.015785361,0.036375791,0
15.25,0.019344514,0.035044105,0
15.5,0.022809945,0.033720585,0
15.75,0.026174464,0.032405323,0
16,0.029433479,0.031098408,0
16.25,0.032583192,0.02979993,0
16.5,0.035620308,0.028509978,0
16.75,0.038541993,0.027228617,0
17,0.041345825,0.025955852,0
17.25,0.044029757,0.024691688,0
17.5,0.046592081,0.023436124,0
17.75,0.049031396,0.022189164,0
18,0.051346709,0.020950808,0
18.25,0.053539082,0.019721059,0
18.5,0.055610887,0.018499919,0
18.75,0.057564483,0.017287389,0
19,0.059402186,0.016083471,0
19.25,0.061126255,0.014888166,0
19.5,0.062738992,0.01370148,0
19.75,0.064242583,0.012523414,0
20,0.065638854,0.011353956,0
20.25,0.066929751,0.010193102,0
20.5,0.068117854,0.009040878,0
20.75,0.069205829,0.00789732,0
21,0.07019625,0.006762462,0
21.25,0.071091911,0.00563635,0
21.5,0.071896698,0.004519068,0
21.75,0.072614356,0.003410702,0
22,0.073248057,0.002311324,0
22.25,0.073800825,0.001221002,0
22.5,0.074275662,0.000139813,0
22.75,0.074675421,-0.000932171,0
23,0.075002814,-0.001994877,0
23.25,0.075260471,-0.003048231,0
23.5,0.075450847,-0.00409216,0
23.75,0.075576295,-0.00512659,0
24,0.075639347,-0.006151449,0
24.25,0.075642689,-0.007166666,0
24.5,0.075589274,-0.008172162,0
24.75,0.075482013,-0.009167863,0
25,0.075323655,-0.010153679,0
25.25,0.075116784,-0.011129498,0
25.5,0.074863883,-0.01209521,0
25.75,0.074567324,-0.013050705,0
26,0.074229373,-0.013995873,0
26.25,0.073852193,-0.014930603,0
26.5,0.073437852,-0.015854786,0
26.75,0.072988325,-0.016768312,0
27,0.072505502,-0.017671069,0
27.25,0.071991187,-0.018562949,0
27.5,0.071447109,-0.019443841,0
27.75,0.070874942,-0.020313635,0
28,0.07027641,-0.021172221,0
28.25,0.069653202,-0.022019489,0
28.5,0.069006929,-0.022855329,0
28.75,0.068339136,-0.02367963,0
29,0.067651297,-0.024492279,0
29.25,0.066944823,-0.02529316,0
29.5,0.066221065,-0.026082155,0
29.75,0.065481313,-0.026859145,0
30,0.064726805,-0.027624013,0
30.25,0.063958721,-0.02837664,0
30.5,0.063178193,-0.029116908,0
30.75,0.062386305,-0.029844701,0
31,0.061584094,-0.030559899,0
31.25,0.060772552,-0.031262385,0
31.5,0.059952629,-0.031952041,0
31.75,0.059125235,-0.032628749,0
32,0.058291245,-0.033292392,0
32.25,0.057451519,-0.03394285,0
32.5,0.056606896,-0.034580006,0
32.75,0.055758175,-0.035203743,0
33,0.054906123,-0.035813943,0
33.25,0.054051475,-0.036410494,0
33.5,0.053194933,-0.036993287,0
33.75,0.052337171,-0.03756221,0
34,0.051478833,-0.038117153,0
34.25,0.050620535,-0.038658006,0
34.5,0.049762869,-0.039184658,0
34.75,0.0489064,-0.039696999,0
35,0.048051669,-0.040194918,0
35.25,0.047199193,-0.040678305,0
35.5,0.04634947,-0.041147049,0
35.75,0.045502973,-0.04160104,0
36,0.044660156,-0.042040167,0
36.25,0.043821454,-0.042464321,0
36.5,0.042987283,-0.042873389,0
36.75,0.04215804,-0.043267263,0
37,0.041334056,-0.043645829,0
37.25,0.040515459,-0.044008946,0
37.5,0.03970233,-0.044356453,0
37.75,0.03889474,-0.044688188,0
38,0.038092762,-0.04500399,0
38.25,0.037296459,-0.045303697,0
38.5,0.036505894,-0.045587148,0
38.75,0.035721125,-0.045854182,0
39,0.034942205,-0.046104636,0
39.25,0.034169185,-0.046338349,0
39.5,0.033402112,-0.04655516,0
39.75,0.032641031,-0.046754907,0
40,0.031885982,-0.046937429,0
40.25,0.031137003,-0.047102564,0
40.5,0.03039413,-0.047250151,0
40.75,0.029657393,-0.047380028,0
41,0.028926824,-0.047492034,0
41.25,0.028202449,-0.047586019,0
41.5,0.027484294,-0.047661855,0
41.75,0.02677238,-0.047719415,0
42,0.026066728,-0.047758571,0
42.25,0.025367357,-0.047779195,0
42.5,0.024674282,-0.047781162,0
42.75,0.023987427,-0.047764342,0
43,0.023306502,-0.047728609,0
43.25,0.022631193,-0.047673836,0
43.5,0.021961194,-0.047599895,0
43.75,0.021296211,-0.04750666,0
44,0.020635958,-0.047394002,0
44.25,0.019980156,-0.047261794,0
44.5,0.019328536,-0.047109909,0
44.75,0.018680838,-0.046938221,0
45,0.018036808,-0.0467466,0
45.25,0.017396201,-0.046534945,0
45.5,0.016758778,-0.046303249,0
45.75,0.01612431,-0.046051528,0
46,0.015492571,-0.045779801,0
46.25,0.014863346,-0.045488083,0
46.5,0.014236423,-0.045176394,0
46.75,0.013611598,-0.044844749,0
47,0.012988674,-0.044493167,0
47.25,0.012367458,-0.044121664,0
47.5,0.011747764,-0.043730258,0
47.75,0.011129411,-0.043318966,0
48,0.010512224,-0.042887806,0
48.25,0.009896034,-0.042436795,0
48.5,0.009280675,-0.041965949,0
48.75,0.008665988,-0.041475287,0
49,0.008051817,-0.040964825,0
49.25,0.007438008,-0.040434585,0
49.5,0.006824368,-0.039884632,0
49.75,0.006210693,-0.039315057,0
50,0.005596783,-0.038725951,0
50.25,0.004982444,-0.038117408,0
50.5,0.004367488,-0.037489519,0
50.75,0.003751734,-0.036842376,0
51,0.003135006,-0.036176071,0
51.25,0.002517131,-0.035490696,0
51.5,0.001897945,-0.034786343,0
51.75,0.001277287,-0.034063104,0
52,0.000655001,-0.033321072,0
52.25,3.09E-05,-0.032560337,0
52.5,-0.000595055,-0.031780993,0
52.75,-0.001223114,-0.030983131,0
53,-0.001853377,-0.030166843,0
53.25,-0.002485978,-0.029332221,0
53.5,-0.003121046,-0.028479374,0
53.75,-0.003758707,-0.02760843,0
54,-0.004399081,-0.02671952,0
54.25,-0.005042285,-0.025812777,0
54.5,-0.005688434,-0.024888331,0
54.75,-0.006337637,-0.023946313,0
55,-0.006990001,-0.022986855,0
55.25,-0.00764563,-0.022010087,0
55.5,-0.008304622,-0.021016142,0
55.75,-0.008967075,-0.02000515,0
56,-0.009633081,-0.018977242,0
56.25,-0.010302733,-0.01793255,0
56.5,-0.010976116,-0.016871205,0
56.75,-0.011653316,-0.015793338,0
57,-0.012334363,-0.014699081,0
57.25,-0.013019189,-0.013588564,0
57.5,-0.013707719,-0.012461914,0
57.75,-0.014399879,-0.011319244,0
58,-0.015095595,-0.010160661,0
58.25,-0.015794796,-0.008986275,0
58.5,-0.01649741,-0.007796193,0
58.75,-0.017203369,-0.006590523,0
59,-0.017912606,-0.005369375,0
59.25,-0.018625052,-0.004132857,0
59.5,-0.019340644,-0.002881076,0
59.75,-0.020059316,-0.001614142,0
60,-0.020781005,-0.000332163,0
60.25,-0.021505651,0.000964753,0
60.5,-0.022233191,0.002276497,0
60.75,-0.022963566,0.003602962,0
61,-0.023696719,0.004944038,0
61.25,-0.02443259,0.006299617,0
61.5,-0.025171123,0.00766959,0
61.75,-0.025912264,0.009053825,0
62,-0.026655957,0.010452182,0
62.25,-0.027402149,0.01186452,0
62.5,-0.028150787,0.013290698,0
62.75,-0.02890182,0.014730575,0
63,-0.029655197,0.016184011,0
63.25,-0.030410868,0.017650863,0
63.5,-0.031168784,0.019130992,0
63.75,-0.031928897,0.020624255,0
64,-0.03269116,0.022130513,0
64.25,-0.033455525,0.023649624,0
64.5,-0.034221949,0.025181448,0
64.75,-0.034990385,0.026725842,0
65,-0.035760789,0.028282667,0
65.25,-0.036533119,0.029851781,0
65.5,-0.037307331,0.031433043,0
65.75,-0.038083372,0.033026323,0
66,-0.038861137,0.034631499,0
66.25,-0.039640513,0.036248454,0
66.5,-0.040421391,0.037877067,0
66.75,-0.041203661,0.039517221,0
67,-0.041987218,0.041168795,0
67.25,-0.042771957,0.042831672,0
67.5,-0.043557778,0.044505732,0
67.75,-0.044344579,0.046190855,0
68,-0.045132265,0.047886924,0
68.25,-0.045920738,0.049593818,0
68.5,-0.046709906,0.05131142,0
68.75,-0.047499676,0.053039609,0
69,-0.04828996,0.054778268,0
69.25,-0.049080668,0.056527276,0
69.5,-0.049871716,0.058286515,0
69.75,-0.050663018,0.060055854,0
70,-0.051454492,0.061835126,0
70.25,-0.052246057,0.063624157,0
70.5,-0.053037633,0.06542277,0
70.75,-0.053829145,0.067230793,0
71,-0.054620514,0.069048049,0
71.25,-0.055411667,0.070874366,0
71.5,-0.056202532,0.072709566,0
71.75,-0.056993035,0.074553478,0
72,-0.057783109,0.076405924,0
72.25,-0.058572684,0.078266732,0
72.5,-0.059361693,0.080135726,0
72.75,-0.060150071,0.082012731,0
73,-0.060937754,0.083897573,0
73.25,-0.061724678,0.085790078,0
73.5,-0.062510781,0.08769007,0
73.75,-0.063296005,0.089597371,0
74,-0.064080289,0.091511779,0
74.25,-0.064863575,0.093433076,0
74.5,-0.065645808,0.095361045,0
74.75,-0.066426931,0.097295469,0
75,-0.06720689,0.099236131,0
75.25,-0.067985633,0.101182813,0
75.5,-0.068763106,0.1031353,0
75.75,-0.069539261,0.105093373,0
76,-0.070314055,0.107056816,0
76.25,-0.071087467,0.109025412,0
76.5,-0.071859475,0.110998943,0
76.75,-0.072630061,0.112977194,0
77,-0.073399205,0.114959945,0
77.25,-0.074166887,0.116946981,0
77.5,-0.07493309,0.118938084,0
77.75,-0.075697794,0.120933041,0
78,-0.076460982,0.122931647,0
78.25,-0.077222637,0.124933723,0
78.5,-0.077982743,0.126939091,0
78.75,-0.078741281,0.12894757,0
79,-0.079498238,0.130958981,0
79.25,-0.080253596,0.132973144,0
79.5,-0.08100734,0.134989881,0
79.75,-0.081759456,0.137009011,0
80,-0.082509929,0.139030355,0